Index,City ID,City Name,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,107304,Buraidah,SA,26.33,43.98,31.0,35,75,8.2,1585384323
1,3833367,Ushuaia,AR,-54.8,-68.3,5.0,80,40,4.1,1585384149
2,4462716,Cumberland,US,35.05,-78.87,20.0,82,1,5.1,1585384355
3,2093967,Kimbe,PG,-5.55,150.14,25.71,87,100,1.16,1585384356
4,3175860,Gravina in Puglia,IT,40.82,16.42,15.0,76,20,1.5,1585384356
5,1649150,Bengkulu,ID,-3.8,102.27,29.11,70,99,2.42,1585384356
6,2121385,Severo-Kuril'sk,RU,50.68,156.12,1.38,91,100,12.65,1585384356
7,2027042,Batagay-Alyta,RU,67.8,130.41,-16.77,86,91,1.34,1585384356
8,1490256,Talnakh,RU,69.49,88.4,-12.0,85,40,5.0,1585384357
9,5546220,Saint George,US,37.1,-113.58,5.56,60,1,1.33,1585384357
10,2127060,Arman',RU,59.7,150.17,-4.42,96,100,11.63,1585384357
11,1000543,Graaff-Reinet,ZA,-32.25,24.53,23.33,54,0,0.45,1585384357
12,2206874,Waipawa,NZ,-41.41,175.52,13.0,76,100,14.4,1585384357
13,1651810,Airai,TL,-8.93,125.41,18.95,73,83,0.6,1585384358
14,934322,Mahébourg,MU,-20.41,57.7,30.0,70,40,2.6,1585384358
15,300377,Solhan,TR,38.96,41.03,8.0,87,75,1.0,1585384358
16,5848280,Kapaa,US,22.08,-159.32,23.0,83,90,7.7,1585384103
17,3870282,Talcahuano,CL,-36.72,-73.12,11.0,100,20,1.5,1585384359
18,502185,Remontnoye,RU,46.56,43.65,15.0,22,0,10.0,1585384359
19,934479,Grand Gaube,MU,-20.01,57.66,30.0,70,40,2.6,1585384359
20,2015306,Tiksi,RU,71.69,128.87,-19.66,90,100,0.39,1585384359
21,2075265,Busselton,AU,-33.65,115.33,21.11,32,29,6.61,1585384360
22,5880054,Barrow,US,71.29,-156.79,-27.0,82,1,3.6,1585384360
23,1805857,Jieshi,CN,22.81,115.83,23.33,67,60,1.34,1585384061
24,3369157,Cape Town,ZA,-33.93,18.42,22.22,72,75,6.2,1585384184
25,6165406,Thompson,CA,55.74,-97.86,-14.0,77,90,2.6,1585384360
